id,amount,source,cid
100,902,1,5315
101,780,2,9236
102,242,1,46024
103,322,1,6243
104,727,2,24369
105,181,1,21272
106,280,3,9712
107,491,1,29900
108,366,1,2723
109,951,2,46728
110,123,3,17650
111,579,2,33318
112,827,2,32906
113,564,1,21655
114,327,2,37294
115,361,2,49431
116,328,1,30037
117,137,3,17694
118,768,3,10666
119,842,3,22683
120,148,2,43231
121,724,3,5545
122,605,2,42192
123,714,2,10398
124,602,1,10024
125,497,1,10821
126,896,1,22913
127,99,2,5164
128,785,3,25029
129,407,1,49075
130,489,3,9005
131,344,2,6280
132,931,2,38249
133,465,1,789
134,703,1,28985
135,995,1,9222
136,379,2,36666
137,297,2,40636
138,863,2,28136
139,714,2,7033
140,152,3,46441
141,905,3,27666
142,497,3,38836
143,754,1,33295
144,852,2,17020
145,708,3,27771
146,467,2,10876
147,297,3,30910
148,740,3,29342
149,180,3,38034
150,537,1,18919
151,658,2,39597
152,560,1,36864
153,89,2,25981
154,923,3,7480
155,997,3,26020
156,416,2,29931
157,831,1,9196
158,857,3,38027
159,859,1,22857
160,993,1,18673
161,917,1,35002
162,925,3,24022
163,774,3,34989
164,680,3,5409
165,756,2,47669
166,943,2,4755
167,504,3,30025
168,452,2,25302
169,408,3,27034
170,486,3,33501
171,124,3,25432
172,980,1,1162
173,875,2,14997
174,873,1,41554
175,293,2,21618
176,985,1,49178
177,133,1,35444
178,889,1,5445
179,297,2,22565
180,740,2,43050
181,254,3,45786
182,133,1,36037
183,468,3,32747
184,534,1,30829
185,405,2,11622
186,79,2,4969
187,505,2,27752
188,11,1,37341
189,835,2,15929
190,578,2,1091
191,568,1,10284
192,970,1,1669
193,699,1,5453
194,261,2,16956
195,413,3,10513
196,610,1,13178
197,62,2,16675
198,818,2,15110
199,434,3,25469
200,288,1,11065
201,406,2,48487
202,981,3,7589
203,268,3,3981
204,143,3,23882
205,129,2,34468
206,522,2,39916
207,571,3,10429
208,18,1,19265
209,559,3,1435
210,99,2,38152
211,86,3,23014
212,648,2,44850
213,832,1,13879
214,501,3,30408
215,162,1,45924
216,961,3,5644
217,224,1,12344
218,661,2,40275
219,153,2,33615
220,464,1,38152
221,730,3,22369
222,959,3,29204
223,562,3,24158
224,523,3,37298
225,654,3,16028
226,209,2,43615
227,680,3,47433
